Entity,Code,Year,"Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 15-19 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 20-24 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 25-29 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 30-34 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 35-39 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 40-44 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 45-49 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 50-54 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 55-59 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 60-64 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 65-69 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 70-74 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 75-79 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 80-84 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: over 85 years"
Antigua and Barbuda,ATG,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0,0,0,0,0,0,0,27.419798,0,0,0,0,0
Antigua and Barbuda,ATG,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2021,0,13.290803,0,0,0,14.461316,0,0,0,0,0,0,0,0,0
Argentina,ARG,1966,4.826546,8.347434,8.169533,8.51198,7.6874604,8.85906,9.944312,11.929825,15.597236,16.466347,19.286873,19.761906,23.048326,22.137405,15.686275
Argentina,ARG,1967,7.45679,10.590182,10.376214,9.33754,10.04422,10.376735,13.492676,14.97373,18.695229,21.33646,24.375,26.43678,28.417267,28.057554,20.689655
Argentina,ARG,1968,7.3750606,12.284483,11.616767,10.858586,12.048193,11.372549,13.477289,16.157206,20.61657,22.909508,24.548193,22.958057,26.501766,22.297297,29.6875
Argentina,ARG,1969,7.938785,12.216956,10.901591,11.635221,12.603437,9.385114,12.409812,16.377817,16.555662,19.977552,24.635569,24.946695,30.689655,26.282051,25.714285
Argentina,ARG,1970,8.399813,11.812216,11.683054,11.651091,10.700637,12.355954,12.179487,15.536481,15.405904,18.34254,22.254759,22.295805,27.816902,29.22078,30.487804
Argentina,ARG,1977,6.78829,8.83659,8.894349,9.736989,7.896323,8.571428,8.076448,9.621993,11.697806,16.16257,17.058823,16.72078,21.761658,24.137932,24.137932
Argentina,ARG,1978,6.051753,9.261686,8.518877,8.590308,8.234597,8.960573,9.648058,9.871534,12.08,16.573557,18.518518,17.70335,21.374046,26.704546,22.881355
Argentina,ARG,1979,4.4389644,5.935484,7.2891855,6.99187,7.988338,6.756757,7.646356,11.776447,11.968504,11.446886,15.358362,16.79749,24,25.842697,24.369747
Argentina,ARG,1980,4.6672945,6.3128467,6.4216743,7.6638074,7.9722705,8.70743,10.563616,10.970175,13.087774,17.55611,17.712261,19.761606,25.028732,,
Argentina,ARG,1981,4.2398286,7.56909,7.292909,7.2552004,8.632597,12.352646,12.24038,13.843426,13.752913,16.74149,20.139513,19.48245,26.008848,,
Argentina,ARG,1982,4.048583,6.1215935,6.021978,7.0593963,7.436182,8.243081,8.007335,10.810811,11.285714,15.958369,15.068493,21.648045,24.840765,25.974026,20.895523
Argentina,ARG,1983,4.0239043,5.1567655,5.363322,5.222808,5.6253414,7.045589,8.182912,8.410637,12.227688,17.74744,13.485477,20.770288,21.966528,26.068377,27.0073
Argentina,ARG,1984,3.444698,5.073256,5.129359,5.0730424,5.9368815,8.432805,8.864554,12.121627,12.750455,14.011549,17.811705,19.827354,21.678041,29.050737,20.891365
Argentina,ARG,1985,3.5142202,5.985703,5.360624,5.5961523,6.2044916,7.7768683,9.883199,9.979771,12.123386,15.55184,18.058455,22.177956,23.992323,33.919598,26.390871
Argentina,ARG,1986,4.3476496,7.707459,6.211454,7.5419636,7.444042,10.1174555,9.827696,12.87381,13.624367,15.630197,19.721819,21.391787,27.290077,31.653479,41.814316
Argentina,ARG,1987,4.612546,6.636233,5.8271003,6.673325,8.204147,10.158985,10.205367,12.509101,13.096747,16.16742,19.77459,23.464998,23.553797,32.894737,36.389084
Argentina,ARG,1988,5.0918837,7.549557,5.993001,6.266907,8.674699,7.9694324,9.789343,12.818792,13.111269,17.205997,18.439024,24.238579,25.309734,33.43084,28.466
Argentina,ARG,1989,4.0595903,6.5443935,6.660862,6.6816144,8.199052,8.049041,9.201706,10.220441,13.658882,15.62986,18.45861,20.099874,22.183708,36.678757,27.425089
Argentina,ARG,1990,4.08237,6.2422996,5.67591,5.669643,6.308411,7.0833335,10.340705,10.477453,12.164074,13.846154,17.581396,18.504902,23.559322,31.866465,31.9202
Argentina,ARG,1991,3.8105047,5.1312647,6.0271645,6.6786194,6.462264,6.4881563,8.190926,8.531746,10.305614,11.791731,15.145986,18.45597,19.387754,26.515152,24.752476
Argentina,ARG,1992,4.5662103,7.344084,6.3884335,6.826241,7.1848464,8.186302,8.842908,10.445228,12.84599,12.667888,15.1867075,15.292318,19.20187,24.832214,27.419355
Argentina,ARG,1993,4.0988774,6.742424,6.411057,6.7922873,7.0331297,8.071346,9.156163,10.481641,9.977356,14.176829,15.863277,15.796703,19.180328,21.352314,53.913944
Argentina,ARG,1994,5.39914,6.2863026,6.0865273,6.5011053,6.3796587,10.126706,9.447514,10.743854,11.264433,13.180952,14.404002,16.04278,17.025377,23.727755,22.011005
Argentina,ARG,1995,5.1643333,7.281122,6.394431,5.23403,7.5523205,6.2135735,8.427422,10.727351,11.246943,12.104141,16.102922,15.199219,18.35582,22.493752,22.969187
Argentina,ARG,1996,5.5913854,6.691704,5.6371574,5.7815757,6.216216,7.8006086,10.038569,12.634393,11.752506,11.855906,12.927756,12.289437,19.553926,20.292208,23.974428
Argentina,ARG,1997,5.4275303,6.7050576,5.966716,5.786064,6.8683662,7.662281,9.042198,10.919538,10.649108,11.430597,14.320518,13.81932,18.742,19.51161,16.854687
Argentina,ARG,1998,6.6854897,7.185708,6.4157434,5.707971,6.0675015,6.793433,9.934357,10.396895,9.9724865,14.275296,14.381303,16.769978,18.651276,19.375566,17.908506
Argentina,ARG,1999,6.6634097,7.523166,6.5565615,5.8258324,6.5630293,8.995605,8.099382,10.36085,12.16163,13.881691,14.266708,15.243559,17.528988,17.006721,19.628065
Argentina,ARG,2000,7.5903893,10.26911,8.374554,6.7826514,6.8461366,8.067803,9.946344,12.16699,13.693869,15.720222,14.73679,15.019858,17.429182,17.44746,27.064756
Argentina,ARG,2001,9.403906,11.562335,8.483612,8.73122,8.761991,8.8029585,10.287494,12.532222,14.250197,16.365118,14.914141,18.234446,19.480457,21.817217,22.133907
Argentina,ARG,2002,8.881991,12.5372505,9.878686,8.447825,7.510503,9.506352,9.661647,12.222815,14.679894,15.890377,16.706877,14.873614,20.633844,18.734669,15.969889
Argentina,ARG,2003,11.206058,13.781997,10.005564,8.535015,8.015974,9.736627,9.825241,11.1060705,12.476659,14.205756,14.780993,14.834623,19.786411,25.3365,20.572645
Argentina,ARG,2004,11.149594,13.688857,10.766185,7.8251815,6.9793177,9.261471,9.256763,11.167073,10.746973,10.968559,13.149478,14.288407,15.433811,19.648134,17.818377
Argentina,ARG,2005,10.596788,13.333912,9.83889,8.884125,7.1790576,7.235776,8.303437,10.057291,10.95495,12.356572,11.395476,14.312675,16.794737,16.658998,19.503431
Argentina,ARG,2006,11.605323,13.546392,10.862617,8.542256,7.434759,8.269114,9.011487,9.255869,10.138903,11.588451,11.433135,11.257658,15.564144,16.558235,18.130175
Argentina,ARG,2007,10.264931,11.375446,11.196335,8.873972,8.056958,6.963472,8.243936,9.32443,9.140808,9.101084,10.517176,11.24114,13.876619,15.72645,15.599326
Argentina,ARG,2008,10.210952,13.701173,10.708031,9.484733,8.624177,7.9929285,8.537978,8.047746,9.601609,10.06378,10.464797,10.601456,10.601539,14.771776,19.273079
Argentina,ARG,2009,10.321102,12.363607,10.644678,8.886346,7.0684013,7.196573,7.0752625,8.900472,8.81903,8.85776,9.66934,11.380072,10.043001,11.587671,13.454407
Argentina,ARG,2010,9.930562,14.405858,9.987723,8.682595,8.429831,7.312015,7.578868,8.018895,7.797168,8.215241,9.408387,8.7217045,12.143306,12.596794,16.468401
Argentina,ARG,2011,11.694354,13.358028,11.349604,7.969937,7.446753,6.5288796,6.543212,7.110807,8.40131,7.464233,9.619319,8.892707,11.273698,11.576294,10.845399
Argentina,ARG,2012,12.63879,14.657631,12.112478,10.433866,7.643103,7.3734093,7.0700116,7.3464103,9.987677,7.923735,9.138058,9.855661,12.449582,13.705013,16.288635
Argentina,ARG,2013,11.946297,12.721192,9.76982,9.086929,8.128044,7.760876,6.847057,7.8011646,7.987562,7.741338,7.6181264,9.374699,8.889476,12.071012,10.7538
Argentina,ARG,2014,12.466571,14.449597,10.183262,10.013713,7.7792726,8.291781,8.940171,8.29529,7.3930445,8.308545,9.174412,7.986696,9.2609415,12.979111,12.786608
Argentina,ARG,2015,10.376552,12.648142,8.638829,9.267012,8.380574,7.6018543,7.4519105,7.288517,8.610298,8.580812,8.8081045,8.619887,13.875528,13.1779995,14.970908
Argentina,ARG,2016,10.351239,13.030392,10.004916,8.835805,7.8271933,6.8211465,7.077135,6.913211,7.267605,8.438036,9.421666,7.811778,10.687763,11.264433,14.376932
Argentina,ARG,2017,11.154662,13.612318,10.772254,7.996217,9.0645685,7.217095,7.0603957,7.807841,8.63922,9.180061,8.233646,8.239645,10.151425,10.5368,10.515247
Argentina,ARG,2018,11.305092,13.92029,11.615138,9.316803,8.403812,7.584679,7.539739,8.507738,8.2196245,6.6387587,8.472258,8.071543,11.241627,10.934277,12.978819
Argentina,ARG,2019,11.141442,13.621923,11.705209,9.769038,7.69662,7.1161714,6.989954,8.685152,7.627652,8.0157175,8.027472,8.606348,10.611569,11.422743,7.507709
Argentina,ARG,2020,9.634268,11.934427,10.027699,8.104899,7.9105005,6.149062,5.8001914,5.691374,5.6518197,7.5382233,7.1732087,7.1042695,8.8228,11.501842,8.260678
Argentina,ARG,2021,8.477906,11.78912,10.35432,8.293159,7.6734047,5.8676996,5.7653737,6.3646083,6.4910774,7.813516,5.891466,7.4760656,7.070114,9.423003,9.634558
Armenia,ARM,1981,1.1719894,2.2277918,2.1945868,3.5659704,1.8214936,5.9850373,4.1791043,6.340058,10.119596,7.4487896,6.756757,7.4626865,13.623979,5.2083335,37.037037
Armenia,ARM,1982,1.2210013,0.5566379,2.8011205,2.8653295,6.9565215,9.199134,1.7211704,5.8105755,2.3828435,0,0,14.678899,2.7173913,0,0
Armenia,ARM,1985,0.6861063,1.4916468,1.8467221,5.2334943,2.3571007,6.161972,5.1177073,4.4557605,3.7336652,4.6511626,2.1881838,7.6481833,7.633588,4.2016807,7.352941
Armenia,ARM,1986,1.0478519,0.9363296,2.395927,3.8402457,4.3010755,0.9596929,2.6205451,5.6285176,1.8303844,3.006012,6.3965883,4.0983605,2.5445292,0,13.69863
Armenia,ARM,1987,0.35014006,2.2883296,1.4775413,4.7759,5.5304174,3.6968577,1.7016449,4.845548,5.504587,3.4632034,6.012024,4.484305,7.518797,12.987013,26.490067
Armenia,ARM,1988,0.7087172,3.0991735,2.0876827,2.4647887,1.9002376,3.2894738,2.6333113,2.9239767,5.6426334,2.3219814,1.8484288,2.4509804,10.204082,0,0
Armenia,ARM,1989,2.5945144,2.9112082,2.7590435,4.0472174,1.7953322,6.4331665,5.537975,3.3444817,4.6235137,2.8715003,1.5948963,2.624672,0,4.4052863,14.59854
Armenia,ARM,1990,2.657555,2.2421525,2.5212731,3.8647344,4.631579,8.711885,2.793296,6.482982,4.720162,3.3898306,4,5.390836,7.9365077,0,0
Armenia,ARM,1991,1.3315579,0.7109847,5.4002542,2.052184,2.6871402,2.656748,0.9182736,5.3418803,3.2133677,5.6179776,5.359057,2.3866348,2.5641026,19.920319,5.681818
Armenia,ARM,1992,0.9778357,2.468265,1.6276041,2.8876696,3.2444124,1.968504,5.1546392,5.1664753,5.504587,4.3942246,6.3233967,4.4444447,5.390836,7.380074,5.7471266
Armenia,ARM,1993,1.5984654,1.7488632,4.0227957,3.2051282,3.738953,2.7713625,3.7965071,5.863192,4.6838408,7.6824584,9.523809,4.040404,5.5555553,21.818182,0
Armenia,ARM,1994,0.9416196,2.4364777,2.0782819,1.4947683,4.837149,4.3706293,4.6760187,4.5801525,6.111111,6.7430882,9.565857,6.980803,11.695907,7.168459,33.707867
Armenia,ARM,1995,0.92109305,3.4352455,3.558719,6.8365445,4.612546,3.7144036,5.9453034,5.30504,9.74026,8.391608,4.2105265,5.952381,9.118541,0,5.6179776
Armenia,ARM,1996,0.59934074,1.0118043,2.8891296,2.589835,1.7889087,3.5197496,4.8992925,6.591337,2.7824152,6.8540096,5.54785,8.939975,3.003003,3.6231885,5.524862
Armenia,ARM,1997,0.5847953,0.6626905,1.4450867,2.004008,2.371073,5.5555553,1.525941,2.6809652,3.6210017,5.2875085,3.5285816,10.8813925,8.645534,3.8910506,0
Armenia,ARM,1998,0.57126534,0.6508298,1.4342058,1.0323468,2.395927,4.195804,2.3900573,3.1821797,3.4435263,1.2746973,5.0578036,7.633588,2.695418,3.9840639,4.878049
Armenia,ARM,1999,0.83379656,0.9557184,1.0653409,1.7699115,1.5295197,3.3046927,3.1517334,2.7894003,2.4135158,6.6385036,3.0395136,5.2956753,2.3201857,0,9.132421
Armenia,ARM,2000,0.80192465,0.9230769,0.6894174,2.5584795,1.2932428,2.468374,1.659751,1.8518518,3.9408867,4.6136103,2.3255813,2.437043,7.3394494,8,12.195122
Armenia,ARM,2001,0.53015804,0.6051987,0.3421178,0.73528874,2.6398458,1.8269678,1.2025976,2.8308244,3.969081,2.404352,5.4015265,4.9805346,6.766358,8.647527,4.1272855
Armenia,ARM,2002,0.9502181,1.1014348,2.6640499,3.4292712,3.790064,2.893215,2.7781637,3.1542954,0,4.997751,5.867364,7.5457463,3.4495842,5.6647596,8.34098
Armenia,ARM,2003,0,0.35470176,1.294543,3.4265687,2.2222419,3.9877467,0.87771654,3.5660582,5.391068,4.870565,1.6179789,3.826726,6.1117225,5.319432,8.942144
Armenia,ARM,2006,0.6773737,2.9432867,1.3545609,2.735589,3.4529393,2.7335973,2.0841062,2.7080603,4.7308164,5.628254,8.486214,8.355353,7.7894764,3.1652582,5.495713
Armenia,ARM,2007,1.75621,1.8117781,1.3242285,0.5401289,1.1777661,4.383978,3.3766246,4.1035743,3.7220936,5.2359447,4.5161815,6.6772866,6.950526,7.807214,0
Armenia,ARM,2008,0.3217493,0.9493611,1.4390974,0.8811892,2.5129037,2.2776241,1.4865522,3.1880348,5.0219398,3.5142796,6.2699857,4.857576,6.2880425,5.0576572,0
Armenia,ARM,2009,1.9321954,0.35771647,1.2642065,0.5210287,1.7849917,3.332093,4.0336313,0.93537056,3.4057393,2.0185096,4.1355352,3.3347507,3.133863,10.554313,10.368604
Armenia,ARM,2010,2.4456754,1.4412025,2.4677243,2.5426013,1.7773565,2.326447,3.7323356,2.2805538,3.8736668,2.747907,6.2090592,5.9425273,6.0856867,4.217185,9.542895
Armenia,ARM,2011,1.7318116,2.5530767,1.1951858,2.4522426,0.58485,4.217172,3.9052775,4.511475,1.8166515,2.5830894,4.7661414,4.6576185,8.459164,2.1322417,4.0968494
Armenia,ARM,2012,1.354035,1.3857757,1.4518266,4.7889385,3.1532314,2.8291745,5.408515,4.6748433,1.6381805,2.2676938,8.680054,2.9606528,3.864585,8.1277685,4.7634926
Armenia,ARM,2013,0.96249634,0.3593503,1.4389007,2.0998433,2.5814312,3.4047382,2.0814471,1.7227197,4.147592,4.3055196,6.405904,3.3960855,8.587061,10.138287,4.3673844
Armenia,ARM,2014,0.5105453,1.5221511,1.442325,0.8127835,1.0080492,0.5691552,2.2016006,3.5491986,1.4787868,6.1363497,1.1168069,4.0444894,8.154897,10.4062605,12.32539
Armenia,ARM,2015,1.0803394,1.2307237,2.5296328,1.9768472,3.422146,0,2.3058078,3.7291865,3.3167024,1.2947079,8.8594885,4.8359795,11.34829,6.267759,15.310419
Armenia,ARM,2016,0.5703595,2.2490711,1.090354,1.1628944,1.4187483,4.488003,1.7850873,2.4878592,5.0671396,1.8578497,6.2883477,1.7767354,6.9128404,5.9887414,18.19439
Armenia,ARM,2017,2.9535408,0.49077347,0.7433618,1.5300931,1.8284377,0.55453277,1.81201,2.1260085,2.2913601,3.5657828,2.5296602,0,6.1393385,1.8925773,7.0405183
Armenia,ARM,2018,0,1.5800284,0.38717672,1.1404545,2.2074373,2.7276645,1.8202116,4.519595,1.8617554,2.254906,4.7969685,1.5033977,2.7872622,19.803406,6.674899
Armenia,ARM,2019,1.2017787,0.5583878,0.41028,1.1412051,1.2772914,2.1219034,1.8199024,1.1939942,2.875133,1.604055,0.75640106,6.514064,6.5895686,11.815343,13.259083
Armenia,ARM,2020,0,1.6997263,0.4302426,0.7485254,1.6894603,2.0968757,0,3.0626745,1.5045286,3.0444336,1.5229973,1.1856349,2.358435,8.438107,12.334639
Armenia,ARM,2021,1.1528374,1.1793218,0.90907025,2.6456826,1.6328597,0.5034537,1.2112036,2.5262892,2.0890346,3.496189,2.8317983,6.6611156,2.3147078,1.8713626,13.6664295
Armenia,ARM,2022,2.7502146,1.2500391,0.5128205,1.9082295,1.1728096,2.3425128,1.1463683,0.63328415,1.1258472,0.98065656,3.932286,1.9711618,6.500119,1.7423424,21.281124
Australia,AUS,1950,3.2626426,5.928237,7.0859165,8.516213,11.874198,14.017841,11.596603,19.817768,21.349693,18.222595,22.48033,24.905252,26.933102,15.432098,18.75
Australia,AUS,1951,4.5587163,8.098427,7.478786,7.8320804,12.792512,14.025246,20.226538,14.5154085,19.066242,22.19178,24.390244,18.681889,18.835617,13.473054,9.174312
Australia,AUS,1952,4.8171277,6.15239,10.373739,12.044565,12.911159,16.385136,20.64085,17.551558,20.13258,25.174076,19.400352,28.084253,28.54744,8.888889,18.126888
Australia,AUS,1953,3.13917,7.479675,9.657719,10.310776,12.958963,15.111695,18.472672,25.80785,19.272993,29.474243,26.101694,22.493887,21.862349,20.71006,20.114943
Australia,AUS,1954,3.887105,7.0116863,11.543395,10.275901,13.445904,16.221375,18.840044,16.463545,21.364408,28.374437,25.57377,27.579649,23.455826,20.497805,10.989011
Australia,AUS,1955,3.5865667,7.7584753,8.996144,11.635866,13.694366,12.808642,17.04036,20.653318,21.640903,23.089172,26.777176,25.369003,22.421524,17.316017,13.297873
